carbonsource,experiment,cellno,ID,time,recovery_time,observation
gly2,231215,3,231215_gly2_3,17.718,10.2117,0.270812869
gly2,231215,3,231215_gly2_3,18.1822,10.6759,0.202313685
gly2,231215,3,231215_gly2_3,18.6464,11.1401,0.260908974
gly2,231215,3,231215_gly2_3,19.1105,11.6042,0.235907971
gly2,231215,3,231215_gly2_3,19.5747,12.0684,0.236044413
gly2,231215,3,231215_gly2_3,20.0389,12.5326,0.224956915
gly2,231215,3,231215_gly2_3,20.5031,12.9968,0.280020428
gly2,231215,3,231215_gly2_3,20.9672,13.4609,0.230284994
gly2,231215,3,231215_gly2_3,21.4314,13.9251,0.257168138
gly2,231215,3,231215_gly2_3,21.8956,14.3893,0.240074157
gly2,231215,3,231215_gly2_3,22.3597,14.8534,0.24429178
gly2,231215,3,231215_gly2_3,22.8239,15.3176,0.209648584
gly2,231215,3,231215_gly2_3,23.2881,15.7818,0.251303216
gly2,231215,3,231215_gly2_3,23.7522,16.2459,0.305133633
gly2,231215,3,231215_gly2_3,24.2164,16.7101,0.228260531
gly2,231215,3,231215_gly2_3,24.6806,17.1743,0.273692391
gly2,231215,3,231215_gly2_3,25.1448,17.6385,0.26852939
gly2,231215,3,231215_gly2_3,25.6089,18.1026,0.21435843
gly2,231215,3,231215_gly2_3,26.0731,18.5668,0.204610012
gly2,231215,3,231215_gly2_3,26.5373,19.031,0.24725128
gly2,231215,3,231215_gly2_3,27.0014,19.4951,0.270949986
gly2,231215,3,231215_gly2_3,27.4656,19.9593,0.281616374
gly2,231215,3,231215_gly2_3,27.9298,20.4235,0.284637928
gly2,231215,3,231215_gly2_3,28.3939,20.8876,0.262870739
gly2,231215,3,231215_gly2_3,28.8581,21.3518,0.279275886
gly2,231215,3,231215_gly2_3,29.3223,21.816,0.261434965
gly2,231215,3,231215_gly2_3,29.7865,22.2802,0.251769248
gly2,231215,3,231215_gly2_3,30.2506,22.7443,0.286778005
gly2,231215,3,231215_gly2_3,30.7148,23.2085,0.303339712
gly2,231215,3,231215_gly2_3,31.179,23.6727,0.280616654
gly2,231215,3,231215_gly2_3,31.6431,24.1368,0.275734848
gly2,231215,3,231215_gly2_3,32.1073,24.601,0.281410044
gly2,231215,3,231215_gly2_3,32.5715,25.0652,0.300137057
gly2,231215,3,231215_gly2_3,33.0356,25.5293,0.260626839
gly2,231215,3,231215_gly2_3,33.4998,25.9935,0.256652361
gly2,231215,3,231215_gly2_3,33.964,26.4577,0.230041128
gly2,231215,3,231215_gly2_3,34.4282,26.9219,0.280829194
gly2,231215,3,231215_gly2_3,34.8923,27.386,0.302390561
gly2,231215,3,231215_gly2_3,35.3565,27.8502,0.271582924
gly2,231215,3,231215_gly2_3,35.8207,28.3144,0.292471677
gly2,231215,3,231215_gly2_3,36.2848,28.7785,0.292206373
gly2,231215,3,231215_gly2_3,36.749,29.2427,0.287621682
gly2,231215,3,231215_gly2_3,37.2132,29.7069,0.238318318
gly2,231215,3,231215_gly2_3,37.6773,30.171,0.2345927
gly2,231215,3,231215_gly2_3,38.1415,30.6352,0.337692932
gly2,231215,3,231215_gly2_3,38.6057,31.0994,0.245919432
gly2,231215,3,231215_gly2_3,39.0699,31.5636,0.244159173
gly2,231215,3,231215_gly2_3,39.534,32.0277,0.331820822
gly2,231215,3,231215_gly2_3,39.9982,32.4919,0.249280805
gly2,231215,3,231215_gly2_3,40.4624,32.9561,0.208355151
gly2,231215,3,231215_gly2_3,40.9265,33.4202,0.268678715
gly2,231215,3,231215_gly2_3,41.3907,33.8844,0.278283906
gly2,231215,3,231215_gly2_3,41.8549,34.3486,0.29844081
gly2,231215,3,231215_gly2_3,42.319,34.8127,0.300311705
gly2,231215,3,231215_gly2_3,42.7832,35.2769,0.270595966
gly2,231215,3,231215_gly2_3,43.2474,35.7411,0.286385827
gly2,231215,3,231215_gly2_3,43.7116,36.2053,0.270241238
gly2,231215,3,231215_gly2_3,44.1757,36.6694,0.31661124
gly2,231215,3,231215_gly2_3,44.6399,37.1336,0.240542905
gly2,231215,3,231215_gly2_3,45.1041,37.5978,0.318241364
gly2,231215,3,231215_gly2_3,45.5682,38.0619,0.297987685
gly2,231215,3,231215_gly2_3,46.0324,38.5261,0.312103899
gly2,231215,3,231215_gly2_3,46.4966,38.9903,0.299838477
gly2,231215,3,231215_gly2_3,46.9607,39.4544,0.295249683
gly2,231215,3,231215_gly2_3,47.4249,39.9186,0.293223373
gly2,231215,3,231215_gly2_3,47.8891,40.3828,0.293238928
gly2,231215,3,231215_gly2_3,48.3533,40.847,0.286166988
gly2,231215,3,231215_gly2_3,48.8174,41.3111,0.251084336
gly2,231215,3,231215_gly2_3,49.2816,41.7753,0.310754984
gly2,231215,3,231215_gly2_3,49.7458,42.2395,0.314617137
gly2,231215,3,231215_gly2_3,50.2099,42.7036,0.362720865
gly2,231215,3,231215_gly2_3,50.6741,43.1678,0.340621224
gly2,231215,3,231215_gly2_3,51.1383,43.632,0.298437153
