carbonsource,experiment,cellno,tag,time,recovery_time,observation
glu005,231215,4,231215_glu005_4,37.9028,29.4573,0.26101816
glu005,231215,4,231215_glu005_4,38.4586,30.0131,0.175348752
glu005,231215,4,231215_glu005_4,39.0144,30.5689,0.203649668
glu005,231215,4,231215_glu005_4,39.5702,31.1247,0.299887962
glu005,231215,4,231215_glu005_4,40.126,31.6805,0.22469082
glu005,231215,4,231215_glu005_4,40.6818,32.2363,0.230667334
glu005,231215,4,231215_glu005_4,41.2376,32.7921,0.214936941
glu005,231215,4,231215_glu005_4,41.7934,33.3479,0.228348245
glu005,231215,4,231215_glu005_4,42.3492,33.9037,0.209102348
glu005,231215,4,231215_glu005_4,42.905,34.4595,0.335089987
glu005,231215,4,231215_glu005_4,43.4608,35.0153,0.223377967
glu005,231215,4,231215_glu005_4,44.0166,35.5711,0.225287174
glu005,231215,4,231215_glu005_4,44.5724,36.1269,0.23104777
glu005,231215,4,231215_glu005_4,45.1282,36.6827,0.201745273
glu005,231215,4,231215_glu005_4,45.684,37.2385,0.230117571
glu005,231215,4,231215_glu005_4,46.2398,37.7943,0.231136679
glu005,231215,4,231215_glu005_4,46.7956,38.3501,0.227026066
glu005,231215,4,231215_glu005_4,47.3514,38.9059,0.217615003
glu005,231215,4,231215_glu005_4,47.9072,39.4617,0.212604881
glu005,231215,4,231215_glu005_4,48.463,40.0175,0.223638267
glu005,231215,4,231215_glu005_4,49.0188,40.5733,0.268944946
glu005,231215,4,231215_glu005_4,49.5746,41.1291,0.244924016
glu005,231215,4,231215_glu005_4,50.1304,41.6849,0.232493298
glu005,231215,4,231215_glu005_4,50.6862,42.2407,0.214088545
glu005,231215,4,231215_glu005_4,51.242,42.7965,0.190180835
glu005,231215,4,231215_glu005_4,51.7978,43.3523,0.247989282
glu005,231215,4,231215_glu005_4,52.3536,43.9081,0.245438281
glu005,231215,4,231215_glu005_4,52.9094,44.4639,0.226641469
glu005,231215,4,231215_glu005_4,53.4652,45.0197,0.259840387
glu005,231215,4,231215_glu005_4,54.0209,45.5754,0.293667736
glu005,231215,4,231215_glu005_4,54.5767,46.1312,0.247200233
glu005,231215,4,231215_glu005_4,55.1325,46.687,0.231642548
glu005,231215,4,231215_glu005_4,55.6883,47.2428,0.246991999
glu005,231215,4,231215_glu005_4,56.2441,47.7986,0.213892128
glu005,231215,4,231215_glu005_4,56.7999,48.3544,0.279141814
glu005,231215,4,231215_glu005_4,57.3557,48.9102,0.184859942
glu005,231215,4,231215_glu005_4,57.9115,49.466,0.348710896
glu005,231215,4,231215_glu005_4,58.4673,50.0218,0.253640957
glu005,231215,4,231215_glu005_4,59.0231,50.5776,0.262635868
glu005,231215,4,231215_glu005_4,59.5789,51.1334,0.268621809
glu005,231215,4,231215_glu005_4,60.1347,51.6892,0.228341651
glu005,231215,4,231215_glu005_4,60.6905,52.245,0.253940155
glu005,231215,5,231215_glu005_5,6.596,0,0.10100037
glu005,231215,5,231215_glu005_5,7.0469,0.4509,0.164509397
glu005,231215,5,231215_glu005_5,7.4979,0.9019,0.165965504
glu005,231215,5,231215_glu005_5,7.9488,1.3528,0.139183659
glu005,231215,5,231215_glu005_5,8.3997,1.8037,0.233396762
glu005,231215,5,231215_glu005_5,8.8506,2.2546,0.208087318
glu005,231215,5,231215_glu005_5,9.3015,2.7055,0.222494967
glu005,231215,5,231215_glu005_5,9.7524,3.1564,0.208866202
glu005,231215,5,231215_glu005_5,10.2033,3.6073,0.249856721
glu005,231215,5,231215_glu005_5,10.6542,4.0582,0.240305771
glu005,231215,5,231215_glu005_5,11.1051,4.5091,0.222961378
glu005,231215,5,231215_glu005_5,11.556,4.96,0.251120764
glu005,231215,5,231215_glu005_5,12.0069,5.4109,0.219665892
glu005,231215,5,231215_glu005_5,12.4578,5.8618,0.256057942
glu005,231215,5,231215_glu005_5,12.9087,6.3127,0.254020269
glu005,231215,5,231215_glu005_5,13.3597,6.7637,0.226946949
glu005,231215,5,231215_glu005_5,13.8106,7.2146,0.182128672
glu005,231215,5,231215_glu005_5,14.2615,7.6655,0.211580854
glu005,231215,5,231215_glu005_5,14.7124,8.1164,0.250022664
glu005,231215,5,231215_glu005_5,15.1633,8.5673,0.27036231
glu005,231215,5,231215_glu005_5,15.6142,9.0182,0.24102943
glu005,231215,5,231215_glu005_5,16.0651,9.4691,0.243392852
glu005,231215,5,231215_glu005_5,16.516,9.92,0.280863529
glu005,231215,5,231215_glu005_5,16.9669,10.3709,0.304813056
glu005,231215,5,231215_glu005_5,17.4178,10.8218,0.263765734
glu005,231215,5,231215_glu005_5,17.8687,11.2727,0.3002409
glu005,231215,5,231215_glu005_5,18.3196,11.7236,0.277258525
glu005,231215,5,231215_glu005_5,18.7706,12.1746,0.284039062
glu005,231215,5,231215_glu005_5,19.2215,12.6255,0.235165219
glu005,231215,5,231215_glu005_5,19.6724,13.0764,0.350825139
glu005,231215,5,231215_glu005_5,20.1233,13.5273,0.308752871
glu005,231215,5,231215_glu005_5,20.5742,13.9782,0.331336753
glu005,231215,5,231215_glu005_5,21.0251,14.4291,0.372293107
glu005,231215,5,231215_glu005_5,21.476,14.88,0.270627573
glu005,231215,5,231215_glu005_5,21.9269,15.3309,0.260398775
glu005,231215,5,231215_glu005_5,22.3778,15.7818,0.360590472
glu005,231215,5,231215_glu005_5,22.8287,16.2327,0.33931627
